Video,Genus,Species,Development,f_head,f_body ,m_head,m_body
"Hod_sjo_FM_90_A_02.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.534445,12.87423,2.682675,11.854215
"Hod_sjo_FM_90_A_03.mp4""",Hodotermopsis,sjostedti,Pseudergate,3.033765,14.30865,2.795805,13.114485
"Hod_sjo_FM_90_A_05.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.75823,13.681845,3.03507,13.704615
"Hod_sjo_FM_90_A_06.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.979855,13.602285,2.75715,13.269825
"Hod_sjo_FM_90_A_07.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.83644,14.17437,2.736495,12.883905
"Hod_sjo_FM_90_A_08.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.909745,14.317155,2.51397,12.42945
"Hod_sjo_FM_90_A_09.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.763,13.965525,2.385405,11.449665
"Hod_sjo_FM_90_A_10.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.877885,13.304565,2.42334,12.963825
"Hod_sjo_FM_90_A_14.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.960775,14.01993,2.703735,12.57957
"Hod_sjo_FM_90_A_15.mp4""",Hodotermopsis,sjostedti,Pseudergate,2.783115,13.55868,2.778345,12.61494
Kal_app_FFF_A_01,Kalotermes,approximatus,Pseudergate,NA,NA,NA,NA
Kal_app_FM_A_01,Kalotermes,approximatus,Pseudergate,1.02618,6.79023,1.08747,6.402825
Kal_app_FM_A_02,Kalotermes,approximatus,Pseudergate,1.135755,6.548535,1.059165,5.7555
Kal_app_FM_A_03,Kalotermes,approximatus,Pseudergate,1.106865,6.672465,1.06965,7.26858
Kal_app_FM_A_04,Kalotermes,approximatus,Pseudergate,1.061325,6.866595,1.04886,7.19325
Kal_app_FM_A_05,Kalotermes,approximatus,Pseudergate,0.99918,6.56091,1.09881,6.6411
Kal_app_FM_B_03,Kalotermes,approximatus,Pseudergate,NA,NA,NA,NA
Kal_app_FM_B_04,Kalotermes,approximatus,Pseudergate,NA,NA,NA,NA
Kal_app_FM_B_05,Kalotermes,approximatus,Pseudergate,1.167615,7.305255,1.11915,6.943725
Kal_app_FM_B_06,Kalotermes,approximatus,Pseudergate,1.125,7.23591,1.228275,7.23591
Kal_app_FM_B_08,Kalotermes,approximatus,Pseudergate,1.255185,7.2864,1.19142,6.70878
